
2026-04-17 16:41:10.992839
numbers: [3, 4, 5]
addition: 12
subtraction: -6
multiplication: 60
division: 0.15
***********************************

2026-04-17 16:41:17.809085
numbers: [1, 6, 8]
addition: 15
subtraction: -13
multiplication: 48
division: 0.020833333333333332
***********************************

2026-04-17 16:41:21.833150
numbers: [1, 2, 4]
addition: 7
subtraction: -5
multiplication: 8
division: 0.125
***********************************

2026-04-17 16:41:30.849478
numbers: [4, 46, 6]
addition: 56
subtraction: -48
multiplication: 1104
division: 0.014492753623188406
***********************************

2026-04-17 16:41:37.985664
numbers: [2, 5, 6]
addition: 13
subtraction: -9
multiplication: 60
division: 0.06666666666666667
***********************************

2026-04-17 16:41:42.425589
numbers: [2, 4, 6]
addition: 12
subtraction: -8
multiplication: 48
division: 0.08333333333333333
***********************************

2026-04-17 16:41:48.785905
numbers: [3, 6, 6]
addition: 15
subtraction: -9
multiplication: 108
division: 0.08333333333333333
***********************************

2026-04-17 16:42:03.042326
numbers: [5, 5, 5]
addition: 15
subtraction: -5
multiplication: 125
division: 0.2
***********************************

2026-04-17 16:42:05.018146
numbers: [1, 1, 1]
addition: 3
subtraction: -1
multiplication: 1
division: 1.0
***********************************

2026-04-17 16:42:22.122606
numbers: [3, 4, 5, 6]
addition: 18
subtraction: -12
multiplication: 360
division: 0.024999999999999998
***********************************

2026-04-17 16:43:00.259746
numbers: [3, 4, 5]
addition: 12
subtraction: -6
multiplication: 60
division: 0.15
***********************************
